,Unnamed: 0,univNameCn,univTags,univCategory,province,score,ranking,lng,lat,tlng,tlat
372,372,九江学院,,综合,江西,110.8,373,116.014909,29.682816,116.0097911281419,29.685334391537527
373,373,绵阳师范学院,,师范,四川,110.6,374,104.59809,31.453695,104.59567477184774,31.456079388357917
374,374,湖北汽车工业学院,,理工,湖北,110.5,375,114.24678,30.636959,114.24135125359422,30.639402221546487
375,375,常州工学院,,理工,江苏,109.7,376,119.943923,31.870371,119.9392273519269,31.872502097223567
376,376,金陵科技学院,,综合,江苏,109.6,377,118.811218,32.121738,118.80604592949797,32.123841966323205
377,377,黑龙江工程学院,,理工,黑龙江,109.4,378,126.52532,45.871021,126.51920742305649,45.869017691386794
378,378,乐山师范学院,,师范,四川,109.4,378,103.750816,29.559643,103.7486059967711,29.56239198955356
379,379,潍坊学院,,综合,山东,109.2,380,119.180186,36.717414,119.17433248335547,36.716987494782614
380,380,佳木斯大学,,综合,黑龙江,108.8,381,130.361339,46.805596,130.35345426794743,46.803308562610646
381,381,唐山师范学院,,师范,河北,108.5,382,118.173106,39.673655,118.1667838047108,39.67231443917491
382,382,山东交通学院,,理工,山东,108.4,383,116.793072,36.537932,116.7873964052262,36.537772050069314
383,383,广东石油化工学院,,综合,广东,107.6,384,110.923109,21.677262,110.9186075212679,21.68005003902079
384,384,河北建筑工程学院,,理工,河北,107.6,384,114.530399,38.037707,114.5244644127028,38.03711412916493
385,385,湖北工程学院,,综合,湖北,107.4,386,114.389849,30.503821,114.38430903564557,30.50613286619395
386,386,惠州学院,,综合,广东,107.3,387,114.421664,23.038614,114.41670205459839,23.04114246828634
387,387,成都工业学院,,理工,四川,107.1,388,103.882116,30.787674,103.88002901149535,30.790370915429772
388,388,丽水学院,,师范,浙江,107.1,388,119.903648,28.456803,119.89923467073746,28.460221404219496
389,389,黄淮学院,,师范,河南,106.8,390,114.00705,33.008121,114.00122280393114,33.00999637555278
390,390,许昌学院,,理工,河南,106.7,391,113.871198,34.046757,113.86535869219387,34.048331972200494
391,391,北华航天工业学院,,理工,河北,106.6,392,116.740051,39.529408,116.73402771595835,39.528241533917296
392,392,湖北第二师范学院,,师范,湖北,106.5,393,114.449152,30.480612,114.44367777657013,30.482962574051648
393,393,湖南第一师范学院,,师范,湖南,106.2,394,112.867237,28.196405,112.8618132222376,28.199911832719224
394,394,湖南文理学院,,综合,湖南,105.9,395,113.176739,28.249168,113.17093883353682,28.252421649299777
395,395,周口师范学院,,师范,河南,105.7,396,114.682609,33.635594,114.67717433767095,33.63718303502908
396,396,成都师范学院,,师范,四川,105.5,397,103.828873,30.676146,103.82670477274792,30.678815595627228
397,397,重庆三峡学院,,综合,重庆,105.5,397,108.383511,30.794618,108.37893233912469,30.796896318661883
398,398,铜仁学院,,综合,贵州,105.5,397,109.22216,27.786767,109.21760886167556,27.790089523408312
399,399,遵义师范学院,,师范,贵州,105.4,400,106.915237,27.704388,106.91143969191067,27.707928971868135
400,400,上饶师范学院,,师范,江西,105.0,401,117.970296,28.416874,117.96527400611478,28.420240721200436
401,401,商丘师范学院,,师范,河南,104.8,402,115.631152,34.423498,115.62568863805228,34.424904638009835
402,402,宜春学院,,综合,江西,104.7,403,114.359586,27.793183,114.35429583705093,27.796321898943074
403,403,浙江水利水电学院,,理工,浙江,104.7,403,120.374055,30.314254,120.36946566389372,30.316536558565282
404,404,滁州学院,,师范,安徽,104.6,405,118.302516,32.291814,118.29714811178368,32.29385499872357
405,405,吉林化工学院,,理工,吉林,104.4,406,126.618397,43.89992,126.61276122387976,43.89774515513224
406,406,德州学院,,综合,山东,104.1,407,116.331474,37.467262,116.32563592990074,37.466444239966194
407,407,肇庆学院,,综合,广东,104.0,408,112.495301,23.107272,112.49011736152919,23.109937238173277
408,408,泰山学院,,综合,山东,103.5,409,117.110119,36.1937,117.1040417009113,36.19345022169332
409,409,广东第二师范学院,,师范,广东,103.2,410,113.185529,23.404974,113.18011139466805,23.407494990675147
