univNameCn,univTags,univCategory,province,score,ranking,lng,lat,tlng,tlat
吕梁学院,,师范,山西,76.3,559,111.143937,37.580583,111.1375617,37.57978648
新疆工程学院,,理工,新疆,75.5,560,87.580702,43.814053,87.57785087,43.81284012
普洱学院,,师范,云南,75.1,561,100.999397,22.768602,100.9981051,22.77152056
萍乡学院,,综合,江西,73.2,562,113.879916,27.626459,113.8746602,27.62989876
集宁师范学院,,师范,内蒙古,72.6,563,113.143341,41.010836,113.1360782,41.00906085
滇西科技师范学院,,师范,云南,72.2,564,100.075933,23.887267,100.0746914,23.8898663
太原工业学院,,理工,山西,71.8,565,112.540407,37.959379,112.5340564,37.95883689
新疆理工学院,,综合,新疆,71.7,566,80.217408,41.23118,80.21520854,41.23013522
广西科技师范学院,,师范,广西,71.5,567,109.386047,24.429159,109.3814514,24.43188087
昭通学院,,师范,云南,71.2,568,103.737602,27.356476,103.7354857,27.35988113
忻州师范学院,,师范,山西,71.1,569,112.72651,38.431883,112.7199586,38.43131321
河北石油职业技术大学,,理工,河北,70.7,570,114.39706,38.296091,114.390718,38.2952874
昌吉学院,,师范,新疆,70.1,571,87.301155,44.017867,87.29807135,44.01657032
琼台师范学院,,师范,海南,69.8,572,121.009521,29.209967,121.0052811,29.21266643
鄂尔多斯应用技术学院,,综合,内蒙古,69.3,573,109.825048,39.610762,109.8194115,39.60980274
黑龙江工业学院,,理工,黑龙江,68.2,574,126.68731,45.786348,126.6812282,45.78433326
新疆政法学院,,综合,新疆,66.9,575,87.572964,43.877543,87.57009842,43.87635929
山西能源学院,,综合,山西,64.9,576,112.73827,37.750315,112.7317842,37.74964403
赣东学院,,理工,江西,64.2,577,116.351303,27.988766,116.3463142,27.9919269
河套学院,,综合,内蒙古,64.1,578,120.167442,36.249313,120.1622055,36.24906099
亳州学院,,师范,安徽,63.6,579,115.768788,33.802509,115.763233,33.80395095
豫章师范学院,,师范,江西,62.1,580,115.776719,28.665204,115.7716277,28.66840503
山西工程技术学院,,理工,山西,61.9,581,112.549415,37.88088,112.5431001,37.88034411
太原学院,,理工,山西,58.2,582,112.54748,37.833441,112.5411653,37.83289273
